prefix,asNumber,asName,asOrg,usage
1.6.0.0/15,9583,"SIFY-AS-IN Sify Limited, IN",APNIC,印度Sify
1.12.0.0/15,18245,Founderbn,APNIC,
1.14.0.0/15,18245,Founderbn,APNIC,北京市北京北大方正宽带网络科技有限公司
1.18.0.0/15,NA,NA, ,韩国CZ88.NET
1.22.0.0/15,NA,NA, ,印度Tikona数字网络
1.34.0.0/15,3462,HINET,APNIC,
1.46.0.0/15,24378,"ENGTAC-AS-TH-AP Total Access Communication PLC., TH",APNIC,泰国全通通信公众公司DTAC-GPRS-NET
1.48.0.0/15,4134,CHINANET-BACKBONE,APNIC,
1.64.0.0/15,4760,HKTIMS-AP,APNIC,香港电讯盈科有限公司
1.66.0.0/15,NA,NA, ,日本东京都NTTDoCoMo
1.94.0.0/15,9395,GXBLnet,APNIC,北京市北京宽带通电信技术有限公司
1.112.0.0/15,37903,eMobile,JPNIC,
1.114.0.0/15,37903,eMobile,JPNIC,
1.116.0.0/15,NA,NA, ,北京市中电华通
1.176.0.0/15,9845,"CJCKN-AS-KR CJ Hello Co., Ltd., KR",APNIC,韩国首尔CJ-HELLOVISION
1.184.0.0/15,4538,ERX-CERNET-BKB,APNIC,
1.252.0.0/15,9318,SKB-AS,APNIC,韩国SKBroadband数据中心
2.2.0.0/15,3215,"AS3215, FR",RIPE,法国OrangeS.A.公司AS3215-FR-TELECOM-20100712网络(ROASignedandValid)
2.34.0.0/15,30722,VODAFONE-IT-ASN,RIPE,
2.46.0.0/15,30722,VODAFONE-IT-ASN,RIPE,
2.72.0.0/15,29355,KCELL-AS,RIPE,
2.98.0.0/15,13285,OPALTELECOM-AS,RIPE,英国CZ88.NET
2.112.0.0/15,3269,ASN-IBSNAZ,RIPE,
2.114.0.0/15,3269,ASN-IBSNAZ,RIPE,
2.116.0.0/15,3269,ASN-IBSNAZ,RIPE,
2.118.0.0/15,3269,ASN-IBSNAZ,RIPE,
2.124.0.0/15,5607,BSKYB-BROADBAND-AS,RIPE,英国CZ88.NET
2.144.0.0/15,44244,IranCell-AS,RIPE,
2.146.0.0/15,44244,IranCell-AS,RIPE,
2.222.0.0/15,5607,BSKYB-BROADBAND-AS,RIPE,英国CZ88.NET
4.30.0.0/15,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.76.0.0/15,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
5.18.0.0/15,41733,ZTELECOM-AS,RIPE,
5.30.0.0/15,15802,DU-AS1,RIPE,阿联酋CZ88.NET
5.36.0.0/15,28885,"OMANTEL-NAP-AS OmanTel NAP, OM",RIPE,阿曼CZ88.NET
5.46.0.0/15,20978,"AVEA-TELEKOMUNIKASYON Istanbul, TR",RIPE,土耳其CZ88.NET
5.54.0.0/15,3329,HOL-GR,RIPE,希腊CZ88.NET
5.80.0.0/15,2856,BT-UK-AS,RIPE,英国CZ88.NET
5.86.0.0/15,24608,WINDTRE-AS,RIPE,
