prefix,asNumber,asName,asOrg,usage
0.0.0.0/8,-,-,-,IANA保留地址
1.0.0.0/24,13335,CLOUDFLARENET-AS,RIPE,
1.0.0.0/32,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.1/32,13335,CLOUDFLARENET-AS,RIPE,美国Cloudflare公共DNS
1.0.0.128/25,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.16/28,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.2/31,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.32/27,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.4/30,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.64/26,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.8/29,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.1.0/24,NA,NA, ,福建省电信
1.0.2.0/23,NA,NA, ,福建省电信
1.0.4.0/22,56203,BIGRED-NET-AU,APNIC,澳大利亚墨尔本Goldenit有限公司
1.0.4.0/24,56203,BIGRED-NET-AU,APNIC,
1.0.5.0/24,56203,BIGRED-NET-AU,APNIC,
1.0.6.0/24,56203,BIGRED-NET-AU,APNIC,
1.0.7.0/24,56203,BIGRED-NET-AU,APNIC,
1.0.8.0/21,NA,NA, ,广东省电信
1.0.16.0/20,2519,"VECTANT ARTERIA Networks Corporation, JP",JPNIC,日本东京I2TsInc
1.0.16.0/24,2519,VECTANT,JPNIC,
1.0.32.0/19,NA,NA, ,广东省电信
1.0.64.0/18,18144,AS-ENECOM,JPNIC,日本Energia通讯
1.0.128.0/17,23969,TOT-NET,APNIC,泰国TOTNET
1.0.128.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.0.128.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.0.128.0/24,23969,TOT-NET,APNIC,
